Category,parent_id,parent_label
DRAIN_STRAINER,6,Health_Beauty
DRAWER_SLIDE,8,Books_Media
DRESS,12,Apparel
DRESSER,14,Home_Decor
DRIED_PLANT,10,Office_Stationery
DRILL,13,Tools_Hardware
DRILL_BITS,13,Tools_Hardware
DRINKING_CUP,0,Kitchen_Home
DRINKING_STRAW,0,Kitchen_Home
DRINK_COASTER,10,Office_Stationery
DRINK_FLAVORED,7,Food_Nutrition
DRIP_IRRIGATION_KIT,2,Industrial_Auto
DRYER,8,Books_Media
DRYING_RACK,14,Home_Decor
DRY_SHAMPOO,6,Health_Beauty
DUFFEL_BAG,11,Sports_Fitness
DUMBBELL,11,Sports_Fitness
DUPATTA,8,Books_Media
DUST_REMOVAL_TOOL,13,Tools_Hardware
DUTCH_OVENS,0,Kitchen_Home
DUVET_COVER,3,Home_Textiles
DYE,10,Office_Stationery
EARMUFF,4,Consumer_Electronics
EARPLUG,4,Consumer_Electronics
EARRING,10,Office_Stationery
EDIBLE_OIL_ANIMAL,7,Food_Nutrition
EDIBLE_OIL_VEGETABLE,7,Food_Nutrition
EDUCATIONAL_SUPPLIES,10,Office_Stationery
EGG,7,Food_Nutrition
ELASTIC_BAND,3,Home_Textiles
ELECTRICAL_DISTRIBUTION_BOARD,2,Industrial_Auto
ELECTRICAL_HOUSING,2,Industrial_Auto
ELECTRICAL_OUTLET,9,Home_Electrical
ELECTRICAL_PLUG,9,Home_Electrical
ELECTRICITY_GENERATOR,9,Home_Electrical
ELECTRIC_CIRCUIT_TESTING_DEVICE,9,Home_Electrical
ELECTRIC_FAN,9,Home_Electrical
ELECTRIC_FOOD_MILL_GRINDER,0,Kitchen_Home
ELECTRIC_HEATING_PAD,3,Home_Textiles
ELECTRIC_LANTERN,9,Home_Electrical
ELECTRIC_LIGHT,9,Home_Electrical
ELECTRIC_MOTOR,2,Industrial_Auto
ELECTRIC_SHAVER,9,Home_Electrical
ELECTRIC_WATER_BOILER,9,Home_Electrical
ELECTROMECHANICAL_GAUGE,2,Industrial_Auto
ELECTRONIC_ADAPTER,1,Electronics_Accessories
ELECTRONIC_BOOK_READER,8,Books_Media
ELECTRONIC_CABLE,1,Electronics_Accessories
ELECTRONIC_CIGARETTE_LIQUID,7,Food_Nutrition
ELECTRONIC_COMPONENT,9,Home_Electrical
ELECTRONIC_COMPONENT_AMPLIFIER,4,Consumer_Electronics
ELECTRONIC_COMPONENT_FAN,2,Industrial_Auto
ELECTRONIC_COMPONENT_TERMINAL,2,Industrial_Auto
ELECTRONIC_DEVICE_COOLING_PAD,1,Electronics_Accessories
ELECTRONIC_DEVICE_DOCKING_STATION,1,Electronics_Accessories
ELECTRONIC_DEVICE_SKIN,1,Electronics_Accessories
ELECTRONIC_FINDER,1,Electronics_Accessories
ELECTRONIC_LEARNING_TOY,5,Toys_Games
ELECTRONIC_SENSOR,2,Industrial_Auto
ELECTRONIC_SIGNAL_CONVERTER,4,Consumer_Electronics
ELECTRONIC_SWITCH,9,Home_Electrical
ELECTRONIC_WIRE,4,Consumer_Electronics
ELECTROSHOCK_WEAPON,9,Home_Electrical
ELLIPTICAL_TRAINER,11,Sports_Fitness
ENEMA_DOUCHE,6,Health_Beauty
ENGINE_AIR_FILTER,2,Industrial_Auto
ENGINE_COMPONENT_CAP,2,Industrial_Auto
ENGINE_EXHAUST_PIPE,2,Industrial_Auto
ENGINE_WATER_PUMP,2,Industrial_Auto
ENTERTAINMENT_MEMORABILIA,8,Books_Media
ENVELOPE,10,Office_Stationery
EPILATOR,6,Health_Beauty
ERASER,10,Office_Stationery
ESSENTIAL_OIL,6,Health_Beauty
EXERCISE_BAND,11,Sports_Fitness
EXERCISE_BLOCK,11,Sports_Fitness
EXERCISE_MACHINE,11,Sports_Fitness
EXERCISE_MAT,11,Sports_Fitness
EXERCISE_STEP_PLATFORM,11,Sports_Fitness
EXERCISE_STRAP,11,Sports_Fitness
EYEBROW_COLOR,6,Health_Beauty
EYEGLASS_CASE,3,Home_Textiles
EYEGLASS_FRAME,12,Apparel
EYEGLASS_REPAIR_KIT,8,Books_Media
EYELASH_CURLER,6,Health_Beauty
EYELID_COLOR,6,Health_Beauty
EYEWEAR,12,Apparel
FABRIC,10,Office_Stationery
FABRIC_APPLIQUE_PATCH,12,Apparel
FABRIC_SOFTENER,6,Health_Beauty
FACE_SHAPING_MAKEUP,6,Health_Beauty
FACE_SHIELD,6,Health_Beauty
FACIAL_STEAMER,6,Health_Beauty
FACIAL_TISSUE,6,Health_Beauty
FACIAL_TISSUE_HOLDER,14,Home_Decor
FALSE_EYELASH,6,Health_Beauty
FALSE_NAIL,10,Office_Stationery
FASHIONEARRING,8,Books_Media
FASHIONNECKLACEBRACELETANKLET,10,Office_Stationery
FASHIONOTHER,10,Office_Stationery
FASHIONRING,10,Office_Stationery
FASTENER_DRIVE_BIT,13,Tools_Hardware
FAUCET,2,Industrial_Auto
FAUCET_WATER_AERATOR,2,Industrial_Auto
FENCE_PANEL,14,Home_Decor
FERTILIZER,7,Food_Nutrition
FIDGET_TOY,5,Toys_Games
FIDGET_TOY_SPINNER,5,Toys_Games
FIGURINE,5,Toys_Games
FILE_FOLDER,10,Office_Stationery
FINEEARRING,10,Office_Stationery
FINENECKLACEBRACELETANKLET,13,Tools_Hardware
FIREPLACE,9,Home_Electrical
FIRE_PIT,9,Home_Electrical
FIRE_SCREEN,14,Home_Decor
FIRST_AID_KIT,11,Sports_Fitness
FISH,7,Food_Nutrition
FISHING_EQUIPMENT,13,Tools_Hardware
FISHING_HOOK,13,Tools_Hardware
FISHING_LINE,13,Tools_Hardware
FISHING_NET,13,Tools_Hardware
FISHING_REEL,13,Tools_Hardware
FISHING_ROD_HOLDER,8,Books_Media
FISHING_ROD_REEL_COMBO,13,Tools_Hardware
FISHING_WEIGHT,13,Tools_Hardware
FITNESS_BENCH,11,Sports_Fitness
FITNESS_EQUIPMENT,11,Sports_Fitness
FITNESS_HOOP,11,Sports_Fitness
FITNESS_STEPPER,11,Sports_Fitness
FITTED_SHEET,3,Home_Textiles
FLAME_WICK,13,Tools_Hardware
FLASHLIGHT,9,Home_Electrical
FLASH_CARD,5,Toys_Games
FLASH_DRIVE,1,Electronics_Accessories
FLASH_MEMORY,1,Electronics_Accessories
FLASK,8,Books_Media
FLATWARE,0,Kitchen_Home
FLAT_SCREEN_DISPLAY_MOUNT,1,Electronics_Accessories
FLAT_SHEET,3,Home_Textiles
FLAVORED_DRINK_CONCENTRATE,7,Food_Nutrition
FLEXIBLE_MAGNET,13,Tools_Hardware
FLOOR_COVER,14,Home_Decor
FLOUR,7,Food_Nutrition
FOOD,7,Food_Nutrition
FOOD_BIB,3,Home_Textiles
FOOD_BLENDER,0,Kitchen_Home
FOOD_COLORING,7,Food_Nutrition
FOOD_DEHYDRATOR,0,Kitchen_Home
FOOD_GLITTER_SPRINKLE,7,Food_Nutrition
FOOD_GRATER,0,Kitchen_Home
FOOD_MASHER,0,Kitchen_Home
FOOD_MIXER,0,Kitchen_Home
FOOD_OR_BEVERAGE_WARMER,0,Kitchen_Home
FOOD_PREPARATION_MOLD,0,Kitchen_Home
FOOD_PROCESSOR,0,Kitchen_Home
FOOD_SCOOP,0,Kitchen_Home
FOOD_SERVICE_SUPPLY,0,Kitchen_Home
FOOD_SHAKER,0,Kitchen_Home
FOOD_SLICER,0,Kitchen_Home
FOOD_SMOKER,0,Kitchen_Home
FOOD_SPATULA,0,Kitchen_Home
FOOD_STORAGE_BAG,0,Kitchen_Home
FOOD_STORAGE_CONTAINER,0,Kitchen_Home
FOOD_STRAINER,0,Kitchen_Home
FOOD_WRAP,10,Office_Stationery
FOOTREST,11,Sports_Fitness
FOOTWEAR_CARE_KIT,6,Health_Beauty
FOOT_SCRAPER,6,Health_Beauty
FORK,0,Kitchen_Home
FOUNTAIN,9,Home_Electrical
FREESTANDING_SHELTER,3,Home_Textiles
FREEZER,8,Books_Media
FRESH_CUT_FLOWERS_PLANTS,10,Office_Stationery
FRUIT,7,Food_Nutrition
FRUIT_SNACK,7,Food_Nutrition
FUEL_FILTER,2,Industrial_Auto
FUEL_PUMP,2,Industrial_Auto
FUNNEL,0,Kitchen_Home
FURNITURE,14,Home_Decor
FURNITURE_CART,14,Home_Decor
FURNITURE_COVER,3,Home_Textiles
FURNITURE_EDGE_BUMPER,3,Home_Textiles
FURNITURE_FLOOR_PROTECTOR,14,Home_Decor
FURNITURE_LEG,14,Home_Decor
FURNITURE_LINER,14,Home_Decor
FURNITURE_SLIDER,14,Home_Decor
FUSE,9,Home_Electrical
GAMES,5,Toys_Games
GAME_DICE,10,Office_Stationery
GAMING_EQUIPMENT_ENCLOSURE,1,Electronics_Accessories
GARBAGE_DISPOSAL_UNIT,2,Industrial_Auto
GARDEN_SHEAR_SCISSORS,13,Tools_Hardware
GARDEN_TOOL_SET,13,Tools_Hardware
GARLAND,10,Office_Stationery
GARLIC_PRESS,0,Kitchen_Home
GARMENT_PROTECTOR_COVER,3,Home_Textiles
GARMENT_STEAMER,9,Home_Electrical
GASKETS,2,Industrial_Auto
GAS_SMOKE_FIRE_ALARM,9,Home_Electrical
GIFT_CARD,8,Books_Media
GIFT_WRAP,10,Office_Stationery
GLITTER,10,Office_Stationery
GLOBE,5,Toys_Games
GLUCOSE_METER,6,Health_Beauty
GOLF_CLUB,13,Tools_Hardware
GOLF_CLUB_BAG,13,Tools_Hardware
GOLF_CLUB_COVER,2,Industrial_Auto
GOLF_PRACTICE_MAT,13,Tools_Hardware
GPS_OR_NAVIGATION_ACCESSORY,8,Books_Media
GPS_OR_NAVIGATION_SYSTEM,4,Consumer_Electronics
GRAPHIC_TABLET,1,Electronics_Accessories
GRAVITY_BEVERAGE_DISPENSER,0,Kitchen_Home
GREENHOUSE,14,Home_Decor
GREETING_CARD,10,Office_Stationery
GRIDDLE_PLATE,0,Kitchen_Home
GRILL_SMOKER_COVER,9,Home_Electrical
GROCERY,7,Food_Nutrition
GROMMETS,2,Industrial_Auto
GUILD_ACCESSORIES,10,Office_Stationery
GUILD_APPAREL,12,Apparel
